Brand Name,Required Asset Type,Required Asset Size SqFt,Preferred Location,Required Liquid Investment INR,Expected Personality Traits,Industry,Contact Email
Punjab Cafe,Standalone Building,343,"Ahmedabad, Odisha",2793017,"Confident Leader, Visionary Innovator",HORECA,punjabcafe4215@business.com
Kolkata Eatery,Food Court Stall,2300,"Kochi, Rajasthan",18545899,Strategic Planner,HORECA,kolkataeatery1353@business.com
Chill Station,Commercial Shop,2834,"Mumbai, Madhya Pradesh",0,Visionary Innovator,HORECA,chillstation1216@business.com
Heritage Cuisine,Commercial Shop,1898,"Lucknow, Tamil Nadu",502032,"Strategic Planner, Execution Specialist",HORECA,heritagecuisine4827@business.com
Hungry Bazaar,Commercial Shop,2502,"Bhopal, Gujarat",1125387,"Execution Specialist, Opportunity Hunter, Confident Leader",HORECA,hungrybazaar4425@business.com
Grand Cuisine,Retail Space,669,"Jaipur, Kerala",12174597,Persuasive Networker,HORECA,grandcuisine5676@business.com
Kolkata Food Court,Standalone Building,2075,"Chennai, Maharashtra",1785166,"Strategic Planner, Persuasive Networker",HORECA,kolkatafoodcourt2891@business.com
Hungry Street,Retail Space,1144,"Noida, Tamil Nadu",2894451,Persuasive Networker,HORECA,hungrystreet987@business.com
Hungry Adda,Standalone Building,3498,"Noida, Madhya Pradesh",2929849,Opportunity Hunter,HORECA,hungryadda1475@business.com
Signature Kitchen,Retail Space,417,"Bhopal, Karnataka",9877453,"Resilient Builder, Execution Specialist, Adaptive Problem Solver",HORECA,signaturekitchen8999@business.com
Chill Spot,Commercial Shop,2765,"Bengaluru, Telangana",2602408,Opportunity Hunter,HORECA,chillspot5251@business.com
India Meals,Restaurant Space,3502,"Bhubaneswar, Tamil Nadu",806803,"Adaptive Problem Solver, Visionary Innovator",HORECA,indiameals6092@business.com
Chill Point,Restaurant Space,3087,"Bhopal, Maharashtra",2003298,Execution Specialist,HORECA,chillpoint7775@business.com
Velvet Platter,Food Court Stall,2279,"Hyderabad, Assam",2655973,"Execution Specialist, Persuasive Networker",HORECA,velvetplatter7081@business.com
Desi Station,Standalone Building,3119,"Kochi, Telangana",0,"Adaptive Problem Solver, Execution Specialist, Opportunity Hunter",HORECA,desistation575@business.com
Punjab House,Restaurant Space,2890,"Kolkata, Karnataka",3896618,"Adaptive Problem Solver, Opportunity Hunter, Persuasive Networker",HORECA,punjabhouse9833@business.com
India Cafe,Commercial Shop,2944,"Patna, Assam",8883940,"Execution Specialist, Resilient Builder",HORECA,indiacafe9295@business.com
Crazy Stop,Retail Space,3030,"Guwahati, Telangana",0,Resilient Builder,HORECA,crazystop3571@business.com
Chill Hub,Retail Space,2824,"Kochi, Assam",12836189,Opportunity Hunter,HORECA,chillhub6776@business.com
India House,Restaurant Space,3663,"Guwahati, Odisha",1886668,"Adaptive Problem Solver, Visionary Innovator, Strategic Planner",HORECA,indiahouse8214@business.com
Desi Hub,Commercial Shop,3187,"Delhi, Gujarat",0,"Execution Specialist, Persuasive Networker",HORECA,desihub7244@business.com
Kolkata Food Court,Restaurant Space,2715,"Noida, West Bengal",19690780,Persuasive Networker,HORECA,kolkatafoodcourt8858@business.com
Golden Cafe,Restaurant Space,2224,"Nagpur, Telangana",2022773,"Visionary Innovator, Execution Specialist, Persuasive Networker",HORECA,goldencafe8878@business.com
Grand Reserve,Restaurant Space,1264,"Bhubaneswar, Delhi",14659962,"Resilient Builder, Opportunity Hunter, Execution Specialist",HORECA,grandreserve8966@business.com
India Kitchen,Standalone Building,3636,"Guwahati, Telangana",2525139,"Visionary Innovator, Persuasive Networker",HORECA,indiakitchen6883@business.com
Lucknow Eatery,Commercial Shop,1045,"Hyderabad, Kerala",2838747,"Execution Specialist, Visionary Innovator",HORECA,lucknoweatery1389@business.com
Masala Corner,Standalone Building,2903,"Ahmedabad, Tamil Nadu",6710358,"Opportunity Hunter, Visionary Innovator, Execution Specialist",HORECA,masalacorner5017@business.com
Grand Cafe,Standalone Building,785,"Delhi, Madhya Pradesh",0,Visionary Innovator,HORECA,grandcafe5889@business.com
Regal Bistro,Mall Kiosk,2503,"Bhopal, Delhi",846953,Resilient Builder,HORECA,regalbistro4922@business.com
Regal Cuisine,Commercial Shop,3252,"Hyderabad, Maharashtra",1717710,Confident Leader,HORECA,regalcuisine3500@business.com
Golden Lounge,Standalone Building,3573,"Ahmedabad, Maharashtra",2053719,Strategic Planner,HORECA,goldenlounge8322@business.com
Biryani Adda,Retail Space,1519,"Kochi, Gujarat",0,"Resilient Builder, Visionary Innovator, Confident Leader",HORECA,biryaniadda6641@business.com
Elite Dining,Restaurant Space,2136,"Chennai, Madhya Pradesh",2445458,Visionary Innovator,HORECA,elitedining5033@business.com
Signature Platter,Restaurant Space,3963,"Noida, Kerala",1188644,"Persuasive Networker, Confident Leader, Adaptive Problem Solver",HORECA,signatureplatter5193@business.com
Delhi Kitchen,Food Court Stall,3069,"Noida, Delhi",3964469,"Execution Specialist, Adaptive Problem Solver, Opportunity Hunter",HORECA,delhikitchen8143@business.com
Biryani Spot,Restaurant Space,2699,"Surat, West Bengal",0,Opportunity Hunter,HORECA,biryanispot9691@business.com
Crazy Spot,Commercial Shop,2775,"Delhi, Delhi",1808390,"Adaptive Problem Solver, Execution Specialist",HORECA,crazyspot7103@business.com
Hungry Bazaar,Mall Kiosk,3499,"Nagpur, Punjab",14249526,"Resilient Builder, Adaptive Problem Solver, Strategic Planner",HORECA,hungrybazaar2132@business.com
Chai Spot,Food Court Stall,2273,"Surat, Odisha",0,"Confident Leader, Resilient Builder, Persuasive Networker",HORECA,chaispot5620@business.com
Grand Platter,Food Court Stall,487,"Noida, Gujarat",6521793,"Execution Specialist, Confident Leader",HORECA,grandplatter5408@business.com
Urban Cuisine,Restaurant Space,2080,"Mumbai, Uttar Pradesh",808628,"Resilient Builder, Visionary Innovator, Execution Specialist",HORECA,urbancuisine1705@business.com
Signature House,Food Court Stall,3727,"Chandigarh, Telangana",0,"Opportunity Hunter, Persuasive Networker, Execution Specialist",HORECA,signaturehouse8968@business.com
Spice Adda,Restaurant Space,3695,"Ahmedabad, Delhi",7389462,Persuasive Networker,HORECA,spiceadda9664@business.com
Masti Point,Restaurant Space,2476,"Surat, Karnataka",2760358,Resilient Builder,HORECA,mastipoint2003@business.com
Hyderabadi Corner,Restaurant Space,2664,"Bhopal, Madhya Pradesh",0,Execution Specialist,HORECA,hyderabadicorner5383@business.com
Desi Point,Restaurant Space,3930,"Kochi, Gujarat",0,"Confident Leader, Opportunity Hunter",HORECA,desipoint3266@business.com
Spice Junction,Commercial Shop,3002,"Bhubaneswar, Rajasthan",13009215,"Opportunity Hunter, Persuasive Networker, Strategic Planner",HORECA,spicejunction4018@business.com
Delhi Tiffin,Commercial Shop,3776,"Mumbai, West Bengal",15533996,"Opportunity Hunter, Confident Leader, Resilient Builder",HORECA,delhitiffin5383@business.com
Masala Stop,Mall Kiosk,2530,"Surat, Madhya Pradesh",0,"Strategic Planner, Persuasive Networker, Confident Leader",HORECA,masalastop2670@business.com
Chill Corner,Commercial Shop,3773,"Patna, Karnataka",11591180,"Confident Leader, Execution Specialist, Visionary Innovator",HORECA,chillcorner5287@business.com
Golden Cuisine,Mall Kiosk,566,"Bhubaneswar, Rajasthan",548068,"Confident Leader, Persuasive Networker",HORECA,goldencuisine4510@business.com
Desi Spot,Food Court Stall,3931,"Kochi, Uttar Pradesh",772092,"Confident Leader, Resilient Builder, Strategic Planner",HORECA,desispot6497@business.com
Kolkata Biryani,Restaurant Space,2215,"Nagpur, Gujarat",17226568,"Visionary Innovator, Strategic Planner",HORECA,kolkatabiryani5839@business.com
Royal Lounge,Mall Kiosk,1727,"Surat, Madhya Pradesh",1228748,"Execution Specialist, Visionary Innovator",HORECA,royallounge4888@business.com
Chai Stop,Mall Kiosk,1363,"Kolkata, Uttar Pradesh",9137837,Execution Specialist,HORECA,chaistop1597@business.com
Velvet Dining,Food Court Stall,2470,"Surat, Gujarat",17365151,"Confident Leader, Resilient Builder, Visionary Innovator",HORECA,velvetdining1940@business.com
Chill Junction,Mall Kiosk,1655,"Mumbai, Telangana",0,Adaptive Problem Solver,HORECA,chilljunction2763@business.com
Bengal House,Standalone Building,3551,"Patna, Karnataka",14107070,Execution Specialist,HORECA,bengalhouse7635@business.com
Masti Street,Food Court Stall,3413,"Nagpur, Delhi",0,"Confident Leader, Visionary Innovator, Execution Specialist",HORECA,mastistreet3428@business.com
Masti Street,Commercial Shop,2087,"Indore, Rajasthan",2300656,"Visionary Innovator, Execution Specialist, Adaptive Problem Solver",HORECA,mastistreet8224@business.com
Chai Spot,Commercial Shop,2855,"Bhubaneswar, Maharashtra",10606765,Adaptive Problem Solver,HORECA,chaispot7996@business.com
Hungry Stop,Mall Kiosk,275,"Patna, Rajasthan",2922940,"Persuasive Networker, Resilient Builder, Execution Specialist",HORECA,hungrystop1314@business.com
Royal Bistro,Standalone Building,1686,"Pune, Uttar Pradesh",824253,"Visionary Innovator, Opportunity Hunter",HORECA,royalbistro3723@business.com
Royal Reserve,Mall Kiosk,2122,"Indore, West Bengal",0,"Opportunity Hunter, Adaptive Problem Solver",HORECA,royalreserve2203@business.com
Spice Bazaar,Standalone Building,1503,"Kolkata, Assam",5018837,Resilient Builder,HORECA,spicebazaar8476@business.com
Biryani Spot,Restaurant Space,3278,"Surat, West Bengal",2654344,Adaptive Problem Solver,HORECA,biryanispot6123@business.com
Chill Bazaar,Retail Space,3351,"Bhubaneswar, Kerala",0,"Strategic Planner, Opportunity Hunter, Execution Specialist",HORECA,chillbazaar7491@business.com
Urban House,Commercial Shop,437,"Pune, Kerala",0,"Persuasive Networker, Opportunity Hunter, Resilient Builder",HORECA,urbanhouse554@business.com
Crazy Corner,Mall Kiosk,3321,"Delhi, Maharashtra",1962913,Confident Leader,HORECA,crazycorner8190@business.com
India Cafe,Retail Space,2356,"Guwahati, Delhi",0,Adaptive Problem Solver,HORECA,indiacafe2878@business.com
Punjab Eatery,Standalone Building,3839,"Kolkata, Maharashtra",0,"Resilient Builder, Persuasive Networker",HORECA,punjabeatery7101@business.com
Grand Bistro,Commercial Shop,2992,"Chennai, Karnataka",0,"Strategic Planner, Opportunity Hunter",HORECA,grandbistro6927@business.com
Elite Lounge,Mall Kiosk,666,"Bhubaneswar, Karnataka",9485169,"Strategic Planner, Visionary Innovator, Confident Leader",HORECA,elitelounge6819@business.com
Punjab Biryani,Commercial Shop,972,"Kolkata, Delhi",1966775,Execution Specialist,HORECA,punjabbiryani9233@business.com
Madras House,Standalone Building,2074,"Mumbai, Kerala",12710157,"Confident Leader, Opportunity Hunter",HORECA,madrashouse8064@business.com
