Biryani Cafe,Commercial Shop,1405,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",18446619,Execution Specialist,HORECA,biryanicafe7853@business.com
Golden Adda,Restaurant Space,3867,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",12048564,"Strategic Planner, Confident Leader, Persuasive Networker",HORECA,goldenadda3311@business.com
Hyderabadi Bistro,Food Court Stall,2325,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",0,"Opportunity Hunter, Execution Specialist",HORECA,hyderabadibistro4444@business.com
Delhi Kitchen,Restaurant Space,1801,"MG Road, Kochi, Kerala 682016",0,Confident Leader,HORECA,delhikitchen8534@business.com
Chai Adda,Food Court Stall,2106,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",5834929,"Resilient Builder, Persuasive Networker, Opportunity Hunter",HORECA,chaiadda5339@business.com
Hungry Bistro,Food Court Stall,963,"Janpath Road, Bhubaneswar, Odisha 751001",13597984,Resilient Builder,HORECA,hungrybistro9261@business.com
Spice Corner,Restaurant Space,3998,"MG Road, Kochi, Kerala 682016",5482281,"Opportunity Hunter, Persuasive Networker, Adaptive Problem Solver",HORECA,spicecorner4704@business.com
Kolkata Corner,Standalone Building,1948,"Brigade Road, Bengaluru, Karnataka 560001",19767953,"Strategic Planner, Opportunity Hunter, Adaptive Problem Solver",HORECA,kolkatacorner7057@business.com
Golden Kitchen,Retail Space,836,"Ring Road, Surat, Gujarat 395002",6187539,Confident Leader,HORECA,goldenkitchen9661@business.com
Urban House,Retail Space,2022,"Connaught Place, New Delhi, Delhi 110001",15317238,"Strategic Planner, Confident Leader, Execution Specialist",HORECA,urbanhouse2417@business.com
Tandoor Street,Retail Space,3612,"Brigade Road, Bengaluru, Karnataka 560001",15597447,"Persuasive Networker, Visionary Innovator, Strategic Planner",HORECA,tandoorstreet4208@business.com
Imperial Dhaba,Retail Space,3985,"Sector 17 Plaza, Chandigarh 160017",0,Persuasive Networker,HORECA,imperialdhaba4150@business.com
Delhi Corner,Standalone Building,657,"Park Street, Kolkata, West Bengal 700016",11917043,"Opportunity Hunter, Resilient Builder, Strategic Planner",HORECA,delhicorner7460@business.com
Punjab House,Food Court Stall,945,"SG Highway, Ahmedabad, Gujarat 380015",0,"Confident Leader, Resilient Builder, Persuasive Networker",HORECA,punjabhouse1213@business.com
Tandoor Street,Mall Kiosk,2973,"FC Road, Shivajinagar, Pune, Maharashtra 411005",0,"Opportunity Hunter, Visionary Innovator",HORECA,tandoorstreet3656@business.com
Heritage Adda,Mall Kiosk,939,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",942566,"Visionary Innovator, Persuasive Networker, Execution Specialist",HORECA,heritageadda105@business.com
Elite Cafe,Standalone Building,1492,"Brigade Road, Bengaluru, Karnataka 560001",0,Confident Leader,HORECA,elitecafe588@business.com
Velvet Kitchen,Retail Space,3615,"Ring Road, Surat, Gujarat 395002",0,Resilient Builder,HORECA,velvetkitchen1486@business.com
Heritage House,Mall Kiosk,503,"Janpath Road, Bhubaneswar, Odisha 751001",0,"Strategic Planner, Resilient Builder",HORECA,heritagehouse4479@business.com
Urban Adda,Mall Kiosk,729,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,"Confident Leader, Resilient Builder",HORECA,urbanadda3046@business.com
Punjab Dhaba,Retail Space,2601,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",4193753,"Strategic Planner, Persuasive Networker",HORECA,punjabdhaba2713@business.com
Punjab Corner,Restaurant Space,1965,"Ring Road, Surat, Gujarat 395002",13176868,"Resilient Builder, Confident Leader",HORECA,punjabcorner4850@business.com
Delhi House,Standalone Building,754,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",2727827,"Adaptive Problem Solver, Visionary Innovator, Opportunity Hunter",HORECA,delhihouse8257@business.com
Bombay Adda,Restaurant Space,1979,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",0,Execution Specialist,HORECA,bombayadda3298@business.com
Kolkata Cafe,Restaurant Space,589,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,"Visionary Innovator, Confident Leader, Opportunity Hunter",HORECA,kolkatacafe287@business.com
Madras Cafe,Commercial Shop,3516,"Brigade Road, Bengaluru, Karnataka 560001",16743317,Adaptive Problem Solver,HORECA,madrascafe3449@business.com
Chai Cafe,Retail Space,3006,"Janpath Road, Bhubaneswar, Odisha 751001",9581111,Resilient Builder,HORECA,chaicafe6061@business.com
Spice Street,Mall Kiosk,592,"Sector 17 Plaza, Chandigarh 160017",5487898,Strategic Planner,HORECA,spicestreet4395@business.com
Kolkata Dhaba,Mall Kiosk,3129,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",2976064,"Execution Specialist, Persuasive Networker, Strategic Planner",HORECA,kolkatadhaba6787@business.com
Chai Adda,Commercial Shop,1294,"Sector 17 Plaza, Chandigarh 160017",0,"Persuasive Networker, Adaptive Problem Solver, Confident Leader",HORECA,chaiadda6261@business.com
Biryani Bistro,Retail Space,1426,"Sector 17 Plaza, Chandigarh 160017",15949265,Confident Leader,HORECA,biryanibistro8735@business.com
Tandoor Street,Restaurant Space,2671,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",0,"Adaptive Problem Solver, Confident Leader, Visionary Innovator",HORECA,tandoorstreet7872@business.com
Punjab Corner,Commercial Shop,2354,"FC Road, Shivajinagar, Pune, Maharashtra 411005",18679045,Resilient Builder,HORECA,punjabcorner3094@business.com
